"movie","chapter","character","dialog"
"Harry Potter and the Chamber of Secrets","Healing powers","Harry Potter","Don't worry. Ginny, you need to get yourself out. Follow the Chamber, and you'll find Ron. You were brilliant, Fawkes. I just wasn't quick enough… Of course! Phoenix tears have healing powers. Thanks! It's alright, Ginny. It's over. It's just a memory."
"Harry Potter and the Chamber of Secrets","Healing powers","Gilderoy Lockhart","Amazing! This is just like magic!"
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","You both realize, of course, that in the past few hours you have broken perhaps a dozen school rules?"
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","Yes, sir."
"Harry Potter and the Chamber of Secrets","Out of the hat","Ron Weasley","Yes, sir."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","And there is sufficient evidence to have you both expelled."
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","Yes, sir."
"Harry Potter and the Chamber of Secrets","Out of the hat","Ron Weasley","Yes, sir."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","Therefore, it is only fitting, that you both receive Special Awards for Services to the School."
"Harry Potter and the Chamber of Secrets","Out of the hat","Ron Weasley","Thanks, sir!"
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","And now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban? I believe we- we want our gamekeeper back. Harry… first, I want to thank you, Harry. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. And, um… second, I sense that something is troubling you. Am I right, Harry?"
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","It's just… You see, sir I- I couldn't help but notice certain things, certain- certain similarities, between Tom Riddle and me."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","I see. Well, you can speak Parseltongue, Harry. Why? Because Lord Voldemort can speak Parseltongue. If I'm not mistaken, Harry, he transferred some of his powers to you the night he gave you that scar."
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","Voldemort transferred some of his powers… to me?"
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","Not intentionally, but yes."
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","So the Sorting Hat was right! I should be in Slytherin."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","It's true, Harry. You possess many of the qualities that Voldemort himself prizes. Determination, resourcefulness, and if I may say so, a certain disregard for the rules. Why then did the Sorting Hat place you in Gryffindor?"
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","Because I asked it to."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","Exactly, Harry! Exactly! Which makes you different from Voldemort. It is not our abilities that show what we truly are. It is our choices. If you want proof why you belong in Gryffindor, then I suggest that you look more closely at this. Be careful."
"Harry Potter and the Chamber of Secrets","Out of the hat","Harry Potter","Godric Gryffindor."
"Harry Potter and the Chamber of Secrets","Out of the hat","Albus Dumbledore","Ah- it would take a true Gryffindor to pull that out of the hat."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Dobby! So this is your master! The family you serve is the Malfoys"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Um-humm…"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","I'll deal with you later. Out of my way, Potter! So, it's true-- you have returned!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","When the governors learned that Arthur Weasley's daughter was taken into the Chamber, they saw fit to summon me back."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Ridiculous!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","Curiously, Lucius, several of them were under the impression that you would curse their families, if they did not agree to suspend me in the first place."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","How dare you?!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","I beg your pardon?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","My sole concern has always been, and will always be, the welfare of this school and, of course, its students. The culprit has been identified, I presume?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","Oh, yes."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","And? Who was it?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","Voldemort."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Ah!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","Only, this time, he chose to act through somebody else, by means of this."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","I see."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Albus Dumbledore","Fortunately, our young Mr. Potter discovered it. One hopes that no more of Lord Voldemort's old school things should find their way into innocent hands. The consequences for the one responsible would be severe."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Well, let us hope that Mr. Potter will always be around to save the day."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Don't worry. I will be."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Dumbledore. Come, Dobby. We're leaving."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Ahh! Oow!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Sir, I wonder if I could have that?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Mr. Malfoy! Mr. Malfoy! I have something of yours."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Mine? I don't know what you're talking about."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Oh, I think you do, sir. I think you slipped the diary into Ginny Weasley's cauldron, that day at Diagon Alley."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","You do, do you? Why don't you prove it? Come, Dobby. Dobby!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Open it."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Dobby?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Master has given Dobby a sock!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","What? I didn't give."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Master has presented Dobby with clothes! Dobby is free!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","You've lost me my servant!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","You shall not harm Harry Potter!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Advada."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Lucius Malfoy","Your parents were meddlesome fools, too. You mark my words, Potter, one day soon you are going to meet the same sticky end!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Harry Potter freed Dobby! How can Dobby ever repay him?"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Just promise me something."
"Harry Potter and the Chamber of Secrets","Dobby's reward","Dobby","Anything, sir!"
"Harry Potter and the Chamber of Secrets","Dobby's reward","Harry Potter","Never try to save my life again."
"Harry Potter and the Chamber of Secrets","Welcome back","Other","Welcome back, Sir Nicholas!"
"Harry Potter and the Chamber of Secrets","Welcome back","Nearly Headless Nick","Thank you!"
"Harry Potter and the Chamber of Secrets","Welcome back","Other","Good evening, Sir Nicholas!"
"Harry Potter and the Chamber of Secrets","Welcome back","Nearly Headless Nick","Good evening!"
"Harry Potter and the Chamber of Secrets","Welcome back","Other","Good to see you, Sir Nicholas!"
"Harry Potter and the Chamber of Secrets","Welcome back","Nearly Headless Nick","Thank you! Hello! Hermione! Welcome back!"
"Harry Potter and the Chamber of Secrets","Welcome back","Hermione Granger","Thanks, Sir Nicholas!"
"Harry Potter and the Chamber of Secrets","Welcome back","Neville Longbottom","Harry- it's Hermione!"
"Harry Potter and the Chamber of Secrets","Welcome back","Ron Weasley","Uhh-um… Welcome back, Hermione."
"Harry Potter and the Chamber of Secrets","Welcome back","Hermione Granger","It's good to be back! Congratulations! I can't believe you solved it!"
"Harry Potter and the Chamber of Secrets","Welcome back","Harry Potter","Well, we had loads of help from you. We couldn't have done it without you."
"Harry Potter and the Chamber of Secrets","Welcome back","Hermione Granger","Thanks."
"Harry Potter and the Chamber of Secrets","Welcome back","Minerva McGonagall","Could I have your attention, please?"
"Harry Potter and the Chamber of Secrets","Welcome back","Albus Dumbledore","Before we begin the feast, let us have a round of applause for Professor Sprout and Madame Pomfrey, whose Mandrake juice has been so successfully administered to all who had been Petrified. Also, in light of the recent events, as a school treat, all exams have been canceled."
"Harry Potter and the Chamber of Secrets","Welcome back","Hermione Granger","Oh, no!"
"Harry Potter and the Chamber of Secrets","Welcome back","Rubeus Hagrid","Sorry I'm late! The owl that delivered my release papers got all lost and confused. Some ruddy bird called Errol. And I'd just like to say that aif it hadn't been for you, Harry, and Ron, and Hermione, o' course, I woulduh- I'd still be you-know-where, so I- I'd just like to say 'Thanks.'"
"Harry Potter and the Chamber of Secrets","Welcome back","Harry Potter","Well, there's no Hogwarts without you, Hagrid."
"Harry Potter and the Chamber of Secrets","Welcome back","Rubeus Hagrid","Oh!"
"Harry Potter and the Chamber of Secrets","Welcome back","Students","Yeah! Yeah!"
"Harry Potter and the Prisoner of Azkaban","Under Covers Prologue","Harry Potter","Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Harry! Harry! Harry, open the door! Marge! How lovely to see..."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Uncle Vernon, I need you to sign this form."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","What is it?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Nothing. School stuff."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Later perhaps, if you behave."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","I will if she does."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Oh, you're still here, are you?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Yes."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Take Marge's suitcase upstairs!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Okay."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Finish that off for Mommy. Good boy, Rippy-pooh."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Can I tempt you, Marge?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","St. Brutus'. It's a fine institution for hopeless cases."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Do they use a cane at St. Brutus', boy?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Oh, yeah. Yeah. I've been beaten loads of times."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Nothing. He didn't work. He was unemployed."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","And a drunk too, no doubt?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","That's a lie!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","What did you say?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","My dad wasn't a drunk!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Oh, don't worry Don't fuss, Petunia. I have a very firm grip."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","I think it's time you went to bed."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Shut up! Shut up!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Don't you dare!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Sorry!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Oh, Vernon!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","No! She deserved what she got! Keep away from me."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","You're not allowed to do magic outside school."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Yeah? Try me."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","They won't let you back now. You've nowhere to go."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","I don't care. Anywhere's better than here."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Welcome to the Knight Bus... emergency transport for the stranded witch or wizard. My name is Stan Shunpike, and I will be your conductor for this evening. What you doing down there?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I fell over."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","What you fall over for?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I didn't do it on purpose."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, come on, then. Let's not wait for the grass to grow. What you looking at?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Nothing."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, come on, then. In. No, no, no. I'll get this. You get in. Come on. Come on. Move on, move on, move on."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Take her away, Ern."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","Yeah, take it away, Ernie. It's going to be a bumpy ride."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","What did you say your name was again?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I didn't."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Whereabouts are you headed?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","The Leaky Cauldron. That's in London."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","You heard that Ern? The Leaky Cauldron. That's in London."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","The Leaky Cauldron. If you have pea soup... make sure you eat it before it eats you."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","But the Muggles. Can't they see us?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Muggles? They don't see nothing, do they?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","No, but if you jab them with a fork, they feel. Ernie, little old lady at 12 o'clock! Ten, nine, eight... seven, six, five... four, three, three and a half... two, one and three quarters. Yes!"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Who is that? That man."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Who is that? Who is...? That is Sirius Black, that is. Don't tell me you've never been hearing of Sirius Black. He's a murderer. Got himself locked up in Azkaban for it."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","How did he escape?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, that's the question, isn't it? He's the first one that done it. He was a big supporter of... You-Know-Who. I reckon you've heard of him."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Yeah. Him I've heard of."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","Ernie, two double-deckers at 12 o'clock. They're getting closer, Ernie. Ernie, they're right on top of us! Mind your head. Hey, guys? Guys? Why the long faces? Yeah, yeah. Nearly there. Nearly there. The Leaky Cauldron. Next stop, Knockturn Alley."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Tom","Ah, Mr. Potter, at last."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Stanley Shunpike","Take it away, Ern."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Shrunken head","Yeah, take it away, Ernie!"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Tom",": Room 11."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","Hedwig."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge",": Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","As Minister for Magic, it is my duty to inform you, Mr. Potter... that earlier this evening your uncle's sister was located... a little south of Sheffield, circling a chimney stack. The Accidental Magic Reversal Department was dispatched immediately. She has been properly punctured and her memory modified. She will have no recollection of the incident whatsoever. So that's that... and no harm done."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Tom",": Pea soup?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","No, thank you. Minister?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","Yes?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","I don't understand."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","Understand?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","I broke the law. Underage wizards can't use magic at home."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","Come now, Harry the Ministry doesn't send people to Azkaban... for blowing up their aunts. On the other hand, running away like that, given the state of things... was very, very irresponsible."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","The state of things, sir?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","We have a killer on the loose."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","Sirius Black, you mean? But what's he got to do with me?"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","Nothing, of course. You're safe. And that's what matters. And tomorrow you'll be on your way back to Hogwarts. These are your new schoolbooks. I took the liberty... of having them brought here. Now Tom will show you to your room."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","Hedwig."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","Oh, by the way, Harry. Whilst you're here, it would be best if you didn't... wander."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Maid","Housekeeping. I'll come back later."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","I'm warning you, Hermione. Keep that bloody beast of yours away from Scabbers, or I'll turn it into a tea cozy."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Hermione Granger","It's a cat, Ronald. What do you expect? It's in his nature."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","A cat? Is that what they told you? Looks more like a pig with hair."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Hermione Granger","That's rich... coming from the owner of that smelly old shoe brush. Crookshanks, just ignore the mean little boy."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","Harry."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Hermione Granger","Harry."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Egypt. What's it like?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","Brilliant. Loads of old stuff... like mummies, tombs, even Scabbers enjoyed himself."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Hermione Granger","You know the Egyptians used to worship cats?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","Along with the dung beetle."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Fred Weasley","Not flashing that clipping again are you Ron?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","George Weasley","Not flashing that clipping again are you Ron?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Ron Weasley","I haven't shown anyone."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Fred Weasley","': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","George Weasley","': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","Harry."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Mrs. Weasley."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","Good to see you, dear."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Good to see you."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","You got everything you need?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Yes."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","Yes? All of your books?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Yeah, it's all upstairs."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","All of your clothes?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Everything's there."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Molly Weasley","Good boy."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Thank you."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Harry Potter."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Mr. Weasley."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Harry, wonder if I might have a word?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Yeah, sure."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Hermione."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Hermione Granger","Good morning, Mr. Weasley."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Looking forward to a new term?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Yeah. It should be great."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Harry, some within the Ministry would strongly discourage me... from divulging what I'm about to reveal to you. But I think that you need to know the facts. You are in danger. Grave danger."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Has this anything to do with Sirius Black, sir?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","What do you know about Sirius Black, Harry?"
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Only that he's escaped from Azkaban."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Do you know why? Thirteen years ago, when you stopped..."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Voldemort."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Don't say his name."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Sorry."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","When you stopped You-Know-Who... Black lost everything. But to this day, he still remains a faithful servant. And in his mind... you are the only thing that stands in the way... of You-Know-Who returning to power. And that is why... he has escaped from Azkaban. To find you."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","And kill me."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Arthur Weasley","Harry, swear to me that whatever you might hear... you won't go looking for Black."
"Harry Potter and the Prisoner of Azkaban","In Grave Danger","Harry Potter","Mr. Weasley... why would I go looking for someone who wants to kill me?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Molly Weasley","Quick. Quick. Ron, Ron! Oh, for goodness' sake! Don't lose him!"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Harry Potter","I didn't mean to blow her up. I just... I lost control."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Brilliant."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","Honestly, Ron, it's not funny. Harry was lucky not to be expelled."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Harry Potter","I think I was lucky not to be arrested actually."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","I still think it was brilliant."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","Come on. Everywhere else is full."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Who do you think that is?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","Professor R.J. Lupin."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Do you know everything? How is it she knows everything?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","It's on his suitcase, Ronald."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Oh."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Harry Potter","Do you think he's really asleep?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","Seems to be. Why?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Harry Potter","I gotta tell you something."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Let me get this straight. Sirius Black has escaped from Azkaban to come after you?"
"Harry Potter and the Prisoner of Azkaban","The Dementor","Harry Potter","Yeah."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Hermione Granger","But they'll catch Black, won't they? I mean, everyone's looking for him."
"Harry Potter and the Prisoner of Azkaban","The Dementor","Ron Weasley","Sure. Except no one's ever broken out of Azkaban before... and he's a murderous, raving lunatic."
